Gender,Age_Gap,Graduation_Status,Current_occupation,Spouse_Occupation_Field,Spouse_Graduation_Status,Occupation_Status,Spouse_Occupation_Status,Social_Status_preference,Marriage_Preference,Financial_Independence,Spouse_Financial_Independence,Mental_Health_Status,Spouse_Mental_Health_Preference,Consent_for_Children,Height_Difference( In Inches),Approx_Income (In Lakhs),Spouse_Income_Preference( In Lakhs),Relation_with_InLaws,Pre_Marital_Relation_Status,Spouse_Pre_Marital_Relation_Status,Time_Together_Before_Marriage,Output
0,-3,0,4,4,1,0,1,4,3,0,1,4,4,1,3.0,1.0,1.0,4,0,0,0,1
1,-1,0,5,7,1,0,1,6,6,0,1,1,6,1,5.0,0.0,5.0,1,0,0,3,1
0,4,0,4,2,1,1,1,4,1,0,0,4,4,1,2.0,30.0,100.0,4,0,0,2,1
1,2,0,4,4,1,0,1,3,3,0,1,3,5,1,5.0,50.0,20.0,5,0,1,3,1
1,-1,1,4,4,1,0,1,1,6,0,1,6,6,1,6.0,12.0,18.0,5,0,0,4,1
0,0,0,4,7,1,0,1,1,5,0,1,1,6,1,3.0,0.0,30.0,4,0,0,3,1
1,3,0,4,4,1,1,1,6,5,1,1,6,4,1,8.0,20.0,20.0,4,1,1,3,1
1,3,0,4,2,1,0,1,3,3,0,1,3,2,1,10.0,0.0,1.0,2,0,0,0,1
0,2,1,5,4,1,1,1,6,6,1,1,4,6,1,9.0,7.0,10.0,6,0,1,4,1
0,-2,1,4,2,1,1,1,4,4,0,1,4,6,1,8.0,0.0,24.0,6,0,1,3,1
0,2,1,4,2,1,1,1,3,5,1,1,5,3,1,10.0,20.0,20.0,6,0,1,3,1
1,3,0,4,0,1,1,1,4,4,1,1,6,6,1,6.0,20.0,20.0,5,0,0,3,1
1,2,1,4,4,1,0,1,3,3,1,1,6,4,1,1.0,8.0,8.0,5,0,0,3,1
1,2,0,4,4,1,1,1,3,6,1,0,3,4,1,2.0,20.0,10.0,6,1,0,0,1
0,2,0,3,4,1,1,1,3,3,0,1,5,6,1,7.0,0.0,15.0,5,0,0,3,1
0,-2,1,5,4,1,0,1,4,6,1,1,3,4,1,6.0,0.0,60.0,3,1,1,3,1
0,5,0,5,7,1,0,1,3,5,1,1,2,4,1,5.0,2.0,2.0,4,0,0,3,1
1,-1,1,4,2,1,0,1,4,5,1,1,5,5,1,5.0,40.0,50.0,6,0,0,3,1
1,1,1,4,3,1,0,1,1,6,1,1,3,2,1,1.0,1.0,1.0,5,1,0,3,1
1,5,1,4,3,1,1,1,6,6,1,1,5,3,1,4.0,20.0,20.0,5,0,1,0,1
0,4,1,4,2,1,1,1,6,1,1,1,4,6,1,5.0,45.0,50.0,6,0,0,0,1
0,-5,0,4,4,1,1,1,6,2,1,1,6,6,1,9.0,40.0,60.0,3,0,0,0,1
0,-2,0,4,4,1,0,1,5,5,1,1,5,5,1,6.0,100.0,100.0,5,1,1,3,1
0,3,1,4,4,1,1,1,3,6,1,1,6,6,1,5.0,80.0,100.0,1,0,0,0,1
1,4,1,4,3,1,1,1,4,3,1,1,6,6,1,5.0,6.0,6.0,6,0,0,0,1
0,-1,1,4,7,1,1,1,4,4,1,1,5,5,1,6.0,9.0,9.0,6,0,0,4,1
1,5,1,4,4,1,1,1,3,1,1,1,1,6,1,10.0,4.0,4.0,6,1,1,0,1
0,2,0,4,2,1,0,1,6,6,1,1,6,4,1,10.0,0.0,100.0,6,0,0,0,1
1,0,1,4,4,1,1,1,6,3,1,1,5,5,1,6.0,11.0,11.0,5,1,1,3,1
0,-4,1,4,0,1,0,1,5,3,1,0,6,6,0,6.0,0.0,100.0,2,0,0,0,1
1,0,1,4,2,1,1,1,5,4,1,1,3,5,1,2.0,7.0,7.0,3,0,1,3,1
0,3,1,7,1,1,1,1,6,1,1,1,5,5,1,5.7,6.0,15.0,4,0,0,0,1
1,3,1,7,9,1,1,1,5,1,1,1,6,1,1,10.0,8.0,6.0,4,0,0,0,1
1,1,1,4,7,1,1,1,5,4,1,1,6,6,1,3.0,9.0,7.0,4,0,0,0,1
0,-3,1,4,9,1,0,1,5,4,1,1,4,4,1,-10.0,20.0,70.0,5,0,1,0,1
1,3,1,4,1,1,1,1,4,6,1,1,5,5,1,2.0,7.0,7.0,3,0,0,4,1
0,10,1,4,7,0,1,0,4,6,1,0,6,3,1,3.0,24.0,1.0,4,0,1,3,1
1,3,1,4,1,1,1,1,4,6,1,1,5,5,1,2.0,7.0,7.0,3,0,0,4,1
1,2,1,4,4,1,1,1,4,5,1,1,6,6,1,3.0,12.0,10.0,6,0,1,0,1
1,2,1,4,9,1,1,1,1,4,1,0,4,4,0,5.0,9.0,5.0,2,0,0,3,1
1,2,1,4,1,1,1,1,4,4,1,1,4,6,1,5.0,3.0,3.0,6,0,0,0,1
1,2,1,4,7,1,1,1,4,2,1,0,5,4,1,6.0,12.0,1.0,5,0,0,0,1
1,2,1,5,2,1,1,1,5,1,1,1,4,5,1,6.0,20.0,18.0,4,0,0,0,1
1,2,1,4,4,1,1,1,4,3,1,1,4,3,1,2.0,10.0,3.0,5,0,0,0,1
1,-10,1,4,8,1,1,1,1,6,1,1,1,1,1,9.0,75.0,195.0,1,1,1,2,1
1,4,1,4,4,1,1,1,5,5,1,1,6,6,1,3.0,100.0,100.0,6,1,0,3,1
1,4,1,4,2,1,1,1,5,5,1,1,5,5,1,3.0,10.0,10.0,5,0,0,0,1
1,3,1,4,4,0,1,1,3,5,1,1,6,5,1,4.0,100000.0,10000.0,5,0,1,3,1
0,3,1,4,4,1,1,1,4,5,1,1,3,5,1,5.0,10.0,10.0,4,0,1,0,1
0,2,1,5,4,1,1,1,6,3,1,1,6,6,1,7.0,0.0,10.0,6,1,0,3,1
1,4,1,2,7,1,1,0,6,6,0,1,1,3,0,2.0,6.0,12.0,1,1,1,0,0
0,-1,1,1,4,1,1,1,5,2,1,1,6,1,0,4.0,7.0,8.0,3,0,1,3,0
0,-6,1,5,4,1,0,1,6,1,0,1,2,5,0,5.0,0.0,10.0,2,1,1,0,0
1,-1,1,0,0,1,1,1,1,6,1,1,2,5,0,6.0,20.0,60.0,6,0,1,2,0
0,0,1,4,4,1,1,1,3,6,0,0,3,3,1,3.0,8.0,6.0,1,1,1,4,0
1,10,0,5,7,0,1,1,4,6,1,1,6,1,1,6.0,400.0,200.0,2,0,1,3,0
1,-5,1,2,0,1,1,1,2,2,1,1,5,5,1,1.0,10000.0,5000.0,3,1,1,3,0
1,-5,0,5,7,1,1,1,1,6,1,1,6,6,0,5.0,1000.0,50.0,2,0,1,3,0
0,1,1,7,7,0,1,1,6,1,0,1,4,6,0,2.0,12.0,400.0,5,0,0,0,0
1,5,1,5,5,0,1,0,5,1,1,0,4,2,1,8.0,0.5,0.0,3,0,1,0,0
1,3,1,6,4,1,1,1,6,6,1,1,2,5,0,5.0,6.0,7.0,1,0,1,0,0
0,1,0,5,2,1,1,1,1,1,0,1,3,5,1,3.0,0.0,9.0,2,0,1,0,0
1,10,1,5,7,1,0,1,1,1,1,1,4,1,0,4.0,8.0,12.0,5,0,1,0,0
0,-5,0,5,2,1,1,1,2,6,0,0,2,1,1,3.0,0.0,6.0,1,0,1,3,0
1,1,1,2,4,1,1,1,3,6,1,1,5,2,0,3.0,10.0,10.0,1,1,0,0,0
0,-3,1,5,4,1,0,1,6,1,0,1,5,3,0,2.0,0.0,12.0,2,0,1,0,0
1,5,1,4,7,1,1,0,4,1,1,0,6,6,0,5.0,7.0,0.0,5,1,0,0,0
0,-2,1,5,2,1,1,1,6,1,1,1,3,3,0,12.0,150.0,70.0,2,1,0,3,0
0,-2,0,5,2,1,1,0,1,6,1,1,1,1,0,4.0,80.0,50.0,5,1,1,2,0
0,1,1,3,7,1,1,1,3,6,1,1,5,5,0,1.0,60.0,20.0,3,1,1,4,0
1,2,1,5,0,1,1,1,6,1,1,1,5,6,0,16.0,20.0,100.0,1,0,1,0,0
0,-6,1,7,7,1,1,1,3,1,1,1,2,3,1,4.0,12.0,16.0,3,0,0,1,0
1,0,1,7,7,0,1,1,1,6,1,0,5,5,1,2.0,18.0,1.2,1,1,1,3,0
1,1,1,4,4,1,1,1,2,6,1,0,1,3,0,3.0,8.4,12.0,1,0,0,3,0
1,5,0,5,3,1,1,1,3,1,1,1,4,6,0,6.0,5.0,7.0,5,0,0,0,0
0,-2,1,7,2,1,1,1,6,1,1,1,6,6,1,1.0,3.6,12.0,3,0,0,0,0
1,3,1,7,9,1,1,1,6,1,1,1,5,4,1,4.0,6.0,4.0,1,0,1,0,0
0,-10,0,5,4,0,0,1,6,1,0,1,1,3,0,7.0,0.0,10.0,3,0,1,0,0
1,8,1,2,2,1,1,1,3,6,1,1,4,5,1,5.0,200.0,150.0,4,0,0,3,0
1,-7,1,5,8,1,1,1,6,1,1,1,1,4,0,4.0,4.8,8.0,1,0,1,0,0
1,3,1,1,1,1,1,1,2,4,1,1,5,6,0,8.0,12.0,10.0,3,1,0,4,0
0,5,1,0,0,0,1,1,1,6,1,1,1,5,0,1.0,600.0,700.0,1,1,0,2,0
1,2,1,2,5,1,1,0,6,1,1,0,5,2,1,6.0,25.0,0.0,4,0,0,0,0
0,-1,1,0,6,1,1,1,2,3,1,1,4,3,0,4.0,20.0,25.0,3,1,0,4,0
0,0,0,5,1,1,1,0,3,3,1,1,2,3,0,9.240541385853529,53.79729307073236,71.83558910772304,3,0,1,1,0
0,-1,0,3,3,1,1,0,1,4,1,1,2,1,0,4.0,56.875009847605035,40.3645874365021,4,1,0,2,0
0,-5,0,5,3,1,0,1,5,1,0,1,2,5,0,4.968067495559572,0.0,9.984033747779787,2,0,1,0,0
0,-6,1,6,7,1,1,1,3,1,1,1,1,3,0,4.0,10.337564455520527,14.152849395022809,2,0,0,0,0
0,0,1,2,4,1,1,1,3,6,0,0,4,2,0,3.0,9.517949067947976,9.035898135895954,1,1,0,0,0
0,0,1,4,4,1,1,1,2,6,0,0,1,3,0,3.0,8.273305407530184,10.099581112952748,1,0,0,3,0
0,0,0,5,1,1,1,0,2,4,1,1,2,2,0,8.68004010660855,56.59979946695726,69.50016711086896,3,0,1,1,0
0,1,0,5,2,1,1,1,1,1,0,1,3,5,0,3.500415264791507,0.8340254413191781,8.66638982347233,2,0,0,0,0
1,1,1,2,4,1,1,1,3,6,1,1,4,2,0,3.3467293070155444,9.306541385968911,9.479906039476683,1,0,0,0,0
0,0,1,4,3,1,1,1,4,2,1,1,3,3,0,7.6983333166943515,114.80454531840833,50.446969621337956,2,1,0,3,0
0,0,1,4,4,1,1,1,2,6,0,0,1,3,0,3.0,8.327105564884775,10.906583473271626,1,0,0,3,0
0,-4,1,6,7,1,1,1,3,2,1,1,2,3,0,3.2660842309529574,23.74265230475268,16.97855435872939,3,0,0,1,0
0,-1,1,5,2,1,1,1,4,1,1,1,3,4,0,10.898129506105064,16.59875300407004,64.28690654273544,1,0,0,0,0
1,2,1,1,1,1,1,1,2,4,1,0,4,5,0,6.960291685659056,11.251410013674521,10.415883325736377,2,0,0,3,0
1,4,1,5,7,1,1,0,4,1,1,0,5,5,0,4.567700327819992,6.567700327819992,1.7291986887200341,3,0,0,0,0
0,-6,1,5,7,1,1,1,6,1,1,1,1,4,0,3.906060122633324,4.76242404905333,8.125253169822233,1,0,0,0,0
1,3,1,2,6,1,1,0,6,6,0,1,1,3,0,2.4731456762150046,6.0,11.211423872974994,1,0,1,0,0
1,3,1,3,5,1,1,0,6,6,0,1,1,3,0,3.349262400109297,6.0,9.751229333151173,1,0,1,0,0
0,0,1,4,3,1,1,1,4,2,1,1,3,3,0,7.6533474039800415,114.4364787598367,50.242488199909275,2,1,0,3,0
0,7,1,1,1,0,1,1,2,6,1,1,3,5,0,4.706635463175177,229.33645368248233,190.3376238134132,3,0,0,2,0
1,4,0,2,3,1,1,1,2,6,1,1,4,5,0,5.0,418.18240331486334,122.72719958564208,3,0,0,3,0
0,0,1,6,2,1,1,1,6,2,1,1,4,5,0,2.3061630752233415,4.383697845134005,10.367296155970823,2,0,0,0,0
0,0,1,4,4,1,1,1,2,6,0,0,1,3,0,3.0,8.22817758976216,9.422663846432396,1,0,0,3,0
1,0,1,4,6,0,1,0,3,3,1,0,5,3,1,3.9166629598967053,21.354160179819235,0.6250011120309884,2,0,0,1,0
0,-1,0,6,2,1,1,1,5,1,0,1,5,5,1,1.0776559513013018,3.4602192876576567,11.883516073048048,2,0,0,0,0
0,0,1,2,4,1,1,1,3,6,0,0,4,2,0,3.0,9.689067697356302,9.378135394712606,1,1,0,0,0
0,-1,1,1,0,1,1,1,2,4,1,1,2,4,0,7.516079339175715,52.84838568214049,62.52679889862619,4,0,0,2,0
1,3,1,5,4,0,1,0,5,3,1,0,2,3,0,6.380923602832761,3.4683067281399387,3.7778449267235583,1,0,1,0,0
0,-3,0,5,3,1,0,1,3,1,0,1,2,5,0,4.173502331327697,0.0,9.586751165663848,2,0,1,0,0
0,3,1,1,6,1,1,0,5,5,0,1,1,3,0,2.069489385471724,6.486425698302067,12.451681005566206,1,1,0,0,0
0,-1,0,5,2,1,0,1,2,1,0,1,2,5,0,3.785931504626631,0.0,9.392965752313316,2,0,1,0,0
0,2,1,5,4,1,1,1,5,6,0,0,2,4,0,4.448001635954913,6.551998364045087,6.724000817977457,1,0,1,1,0
0,-3,1,5,6,1,1,1,3,2,1,1,2,2,0,3.7037264942959176,11.407452988591835,14.222358965775506,2,0,0,0,0
1,2,1,5,4,1,1,1,5,6,1,0,1,4,0,4.669466121873995,6.396640653751206,7.826334695315013,1,0,0,0,0
1,9,1,4,6,1,0,1,1,1,1,0,3,1,0,3.984363593258806,8.006254562696478,12.0,4,0,0,0,0
1,3,1,5,8,1,1,0,5,1,1,0,5,4,0,4.42340148070637,6.42340148070637,2.3063940771745215,2,0,0,0,0
0,1,1,5,4,1,1,1,4,6,0,0,2,4,0,4.21023696364886,6.78976303635114,6.60511848182443,1,0,1,1,0
0,2,1,6,7,1,1,1,5,2,0,0,4,3,1,3.7065118252819618,6.5869763494360765,4.5869763494360765,1,0,1,1,0
0,0,1,4,4,1,1,1,2,6,0,0,2,3,0,3.0,8.005631929086034,6.084478936290507,1,0,0,3,0
0,0,1,1,4,1,1,1,3,5,1,1,5,1,0,3.198842404088805,9.403472787733584,9.60231519182239,1,0,0,0,0
0,0,1,2,4,1,1,1,2,5,1,0,1,3,0,3.2886580472513502,11.748433348115661,15.75255461426755,1,0,0,3,0
0,-4,1,5,5,1,1,1,2,2,1,1,2,3,0,4.419648918937589,13.678595675750355,25.23227621662695,3,0,0,1,0
1,3,1,6,5,1,1,1,6,4,1,1,3,4,0,4.605959974781012,6.0,5.817879924343034,1,0,1,0,0
0,-1,1,0,0,1,1,1,1,5,1,1,2,4,0,6.442194728919906,29.580885793264628,60.73699121486651,5,0,0,2,0
0,-2,0,5,2,1,1,1,1,4,0,0,2,2,1,3.0,0.0,7.046768923494167,1,0,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1
0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0
0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0
0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
